,CIK,FILING_DATE,ACC_NUM
390,36029,20031110,0000036029-03-000039
391,36104,20030514,0000950134-03-007963
392,36104,20030814,0000950134-03-011890
393,36104,20031114,0000950134-03-015362
394,36146,20030514,0000036146-03-000030
395,36146,20030813,0000036146-03-000047
396,36146,20031113,0000036146-03-000063
397,36270,20030515,0000950152-03-005600
398,36270,20031112,0000950152-03-009606
399,36377,20030515,0000950150-03-000624
400,36377,20030814,0000950150-03-000960
401,36377,20031114,0000950150-03-001355
402,36840,20030319,0000914317-03-000852
403,36840,20030915,0000914317-03-002755
404,36966,20030512,0001157523-03-001825
405,36966,20030812,0001157523-03-004073
406,36966,20031114,0001157523-03-006717
407,37472,20030207,0000897101-03-000086
408,37472,20031114,0000897101-03-001465
409,37785,20030513,0000950130-03-003620
410,37785,20030813,0001193125-03-034602
411,37785,20031112,0001193125-03-077851
412,37808,20030515,0000950128-03-000672
413,37808,20030814,0000037808-03-000037
414,37808,20031114,0000037808-03-000042
415,37996,20030508,0000037996-03-000024
416,37996,20031113,0000037996-03-000207
417,38725,20030512,0000038725-03-000073
418,38725,20030811,0000038725-03-000089
419,38777,20030213,0000038777-03-000231
420,38777,20030814,0000038777-03-000436
421,39020,20030317,0000039020-03-000004
422,39020,20030915,0000039020-03-000015
423,39020,20031215,0000039020-03-000045
424,39092,20030213,0000950129-03-000788
425,39092,20030814,0000950129-03-004245
426,39092,20031114,0000950129-03-005674
427,39263,20030423,0000039263-03-000006
428,39263,20030723,0000039263-03-000019
429,39263,20031022,0000039263-03-000028
430,39311,20030509,0000926044-03-000148
431,39311,20030808,0000926044-03-000239
432,39311,20031106,0000926044-03-000381
433,39368,20030415,0001045969-03-001053
434,39368,20030715,0001193125-03-019686
435,39368,20031014,0001193125-03-061199
436,39899,20030506,0000950133-03-001672
437,39899,20030805,0000950133-03-002673
438,39899,20031103,0000950133-03-003638
439,39911,20030602,0001193125-03-007823
440,39911,20030905,0001193125-03-046089
441,39911,20031205,0001193125-03-090245
442,40211,20030508,0000950137-03-002733
443,40211,20030813,0000950137-03-004246
444,40211,20031112,0000950137-03-005874
445,40533,20030506,0000950133-03-001667
446,40533,20030807,0000950133-03-002735
447,40533,20031105,0000950133-03-003684
448,40545,20030502,0000040545-03-000024
449,40545,20030801,0000040545-03-000037
450,40545,20031031,0000040545-03-000057
451,40570,20030130,0000040570-03-000002
452,40570,20030512,0000040570-03-000005
453,40704,20030106,0000897101-03-000006
454,40704,20030408,0000897101-03-000277
455,40704,20031007,0000897101-03-001221
456,40729,20030508,0000950137-03-002705
457,40729,20030808,0000950124-03-002590
458,40729,20031112,0000950124-03-003604
459,40888,20030408,0000950152-03-004038
460,40888,20030709,0000950152-03-006699
461,40888,20031015,0000950152-03-008831
462,40987,20030506,0000950144-03-006202
463,40987,20030808,0000950144-03-009528
464,40987,20031107,0000950144-03-012401
465,41719,20030513,0000893220-03-000902
466,41719,20030813,0000893220-03-001430
467,41719,20031113,0000893220-03-001920
468,42582,20030430,0000950152-03-004825
469,42582,20030730,0000950152-03-007178
470,42582,20031119,0000950152-03-009881
471,42682,20030430,0000950152-03-004754
472,42682,20030805,0000950152-03-007347
473,42682,20031107,0000950152-03-009449
474,42888,20030502,0000042888-03-000021
475,42888,20031029,0000042888-03-000043
476,43196,20030514,0000950144-03-006720
477,43196,20030813,0000950144-03-009886
478,43196,20031112,0000950144-03-012683
479,43920,20030312,0001021408-03-004140
480,43920,20030610,0000930661-03-002209
481,43920,20030912,0001193125-03-048952
482,45012,20030508,0000045012-03-000026
483,45012,20030812,0000045012-03-000116
484,45876,20030512,0001072613-03-000769
485,45876,20030811,0001072613-03-001321
486,45876,20031113,0001072613-03-001807
487,45919,20030514,0001193125-03-004980
488,45919,20030814,0001193125-03-037342
489,45919,20031114,0001193125-03-081361
490,46080,20030514,0000046080-03-000013
491,46080,20030813,0000046080-03-000022
492,46129,20030515,0001104659-03-010265
493,46129,20030814,0001104659-03-018466
494,46129,20031114,0001104659-03-026581
495,46195,20030430,0000898430-03-002709
496,46195,20030730,0001193125-03-025977
497,46195,20031028,0001193125-03-068488
498,46250,20030214,0001104659-03-002350
499,46250,20030814,0001104659-03-018421
500,46250,20031114,0001104659-03-026285
501,46619,20030305,0001133796-03-000024
502,46619,20030605,0001140437-03-000241
503,46765,20030214,0000950134-03-002578
504,46765,20030814,0000950134-03-011877
505,47111,20030508,0000047111-03-000134
506,47111,20030806,0000047111-03-000181
507,47111,20031105,0000047111-03-000212
508,47217,20030312,0001047469-03-008500
509,47217,20030612,0001047469-03-021213
510,47217,20030911,0001047469-03-030355
511,47307,20030214,0000047307-03-000004
512,47307,20030515,0000047307-03-000008
513,47307,20030814,0000047307-03-000009
514,48287,20030508,0000048287-03-000006
515,48287,20030806,0000048287-03-000040
516,48287,20031113,0000048287-03-000076
517,48465,20030311,0001104659-03-003974
518,48465,20030610,0001104659-03-011982
519,48465,20030909,0001104659-03-020233
520,48898,20030513,0000950123-03-005802
521,48898,20030812,0000950123-03-009262
522,48898,20031110,0000950123-03-012391
523,49071,20030514,0000049071-03-000044
524,49071,20031105,0001193125-03-073141
525,49196,20030520,0000950152-03-005718
526,49196,20031114,0000950152-03-009790
